Tournament,Date,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score
Croatia Open,2004-07-20,Clay,1st Round,3,Djokovic N.,Volandri F.,Volandri F.,368,65,-1,-1,5.5,1.12,6-7 1-6
Open Romania,2004-09-14,Clay,1st Round,3,Clement A.,Djokovic N.,Djokovic N.,67,272,-1,-1,1.53,2.35,6-2 4-6 4-6
Open Romania,2004-09-16,Clay,2nd Round,3,Ferrer D.,Djokovic N.,Ferrer D.,54,272,-1,-1,1.28,3.5,4-6 6-4 6-4
Thailand Open,2004-09-28,Hard,1st Round,3,van Scheppingen D.,Djokovic N.,van Scheppingen D.,81,248,-1,-1,1.61,2.2,4-6 7-5 6-4
Open de Moselle,2004-10-14,Hard,2nd Round,3,Patience O.,Monfils G.,Monfils G.,116,368,-1,-1,1.61,2.2,4-6 4-6
Open de Moselle,2004-10-15,Hard,Quarterfinals,3,Monfils G.,Gasquet R.,Gasquet R.,368,151,-1,-1,2.5,1.5,5-7 1-6
BNP Paribas,2004-11-01,Carpet,1st Round,3,Monfils G.,Enqvist T.,Monfils G.,284,75,-1,-1,2.5,1.5,1-6 6-4 6-3
BNP Paribas,2004-11-02,Carpet,2nd Round,3,Monfils G.,Hewitt L.,Hewitt L.,284,3,-1,-1,6.5,1.1,3-6 6-7
Qatar Exxon Mobil Open,2005-01-04,Hard,1st Round,3,Gaudio G.,Monfils G.,Monfils G.,10,239,-1,-1,1.533,2.375,4-6 6-7
Qatar Exxon Mobil Open,2005-01-05,Hard,2nd Round,3,Santoro F.,Monfils G.,Santoro F.,52,239,-1,-1,1.66,2.1,6-2 4-6 7-5
Australian Open,2005-01-17,Hard,1st Round,5,Ginepri R.,Monfils G.,Monfils G.,57,219,-1,-1,1.57,2.25,6-1 3-6 4-6 6-7
Australian Open,2005-01-17,Hard,1st Round,5,Djokovic N.,Safin M.,Safin M.,188,4,-1,-1,7.5,1.07,0-6 2-6 1-6
Australian Open,2005-01-19,Hard,2nd Round,5,Rochus O.,Monfils G.,Rochus O.,53,219,-1,-1,1.66,2.1,6-1 6-3 6-3
Internazionali di Lombardia,2005-01-31,Carpet,1st Round,3,Benneteau J.,Monfils G.,Monfils G.,61,192,-1,-1,2.25,1.57,3-6 3-6
Internazionali di Lombardia,2005-02-03,Carpet,2nd Round,3,Soderling R.,Monfils G.,Soderling R.,37,192,-1,-1,1.66,2.1,6-3 6-4
Open 13,2005-02-09,Hard,1st Round,3,Andreev I.,Monfils G.,Andreev I.,49,181,-1,-1,2.25,1.57,6-3 6-2
Pacific Life Open,2005-03-11,Hard,1st Round,3,Morrison J.,Monfils G.,Monfils G.,108,140,-1,-1,2.62,1.44,5-7 4-6
Pacific Life Open,2005-03-12,Hard,2nd Round,3,Monfils G.,Robredo T.,Robredo T.,140,12,-1,-1,2.5,1.5,3-6 1-6
NASDAQ-100 Open,2005-03-24,Hard,1st Round,3,Monfils G.,Llodra M.,Monfils G.,128,50,-1,-1,2.1,1.66,3-6 6-4 6-3
NASDAQ-100 Open,2005-03-25,Hard,2nd Round,3,Davydenko N.,Monfils G.,Monfils G.,15,128,-1,-1,1.44,2.62,6-4 1-6 4-6
NASDAQ-100 Open,2005-03-27,Hard,3rd Round,3,Monfils G.,Lee H.T.,Monfils G.,128,58,-1,-1,1.66,2.1,7-6 3-6 7-6
NASDAQ-100 Open,2005-03-29,Hard,4th Round,3,Hrbaty D.,Monfils G.,Hrbaty D.,28,128,-1,-1,1.39,2.75,6-3 6-3
Open de Tenis Comunidad Valenciana,2005-04-05,Clay,1st Round,3,Dupuis A.,Djokovic N.,Dupuis A.,114,160,-1,-1,3.0,1.33,6-4 7-5
Monte Carlo Masters,2005-04-11,Clay,1st Round,3,Nadal R.,Monfils G.,Nadal R.,17,106,-1,-1,1.1,6.5,6-3 6-2
Open Seat Godo,2005-04-19,Clay,1st Round,3,Calleri A.,Monfils G.,Calleri A.,99,106,-1,-1,1.9,1.8,7-6 7-6
French Open,2005-05-24,Clay,1st Round,5,Canas G.,Monfils G.,Canas G.,10,79,-1,-1,1.25,3.75,6-3 6-1 6-0
French Open,2005-05-24,Clay,1st Round,5,Ginepri R.,Djokovic N.,Djokovic N.,71,153,-1,-1,2.25,1.57,0-6 0-6 3-6
Stella Artois,2005-06-07,Grass,1st Round,3,Monfils G.,Delgado J.,Delgado J.,82,205,-1,-1,1.39,2.75,2-6 4-6
Nottingham Open,2005-06-13,Grass,1st Round,3,Monfils G.,Beck K.,Beck K.,82,45,-1,-1,3.5,1.25,2-6 6-2 3-6
Wimbledon,2005-06-20,Grass,1st Round,5,Okun N.,Monfils G.,Monfils G.,154,83,-1,-1,2.37,1.53,6-3 4-6 4-6 6-7
Wimbledon,2005-06-21,Grass,1st Round,5,Monaco J.,Djokovic N.,Djokovic N.,68,128,-1,-1,4.0,1.22,3-6 6-7 3-6
Wimbledon,2005-06-22,Grass,2nd Round,5,Monfils G.,Hrbaty D.,Monfils G.,83,25,-1,-1,2.5,1.5,6-3 6-3 2-6 7-5
Wimbledon,2005-06-23,Grass,2nd Round,5,Garcia-Lopez G.,Djokovic N.,Djokovic N.,81,128,-1,-1,2.1,1.66,6-3 6-3 6-7 6-7 4-6
Wimbledon,2005-06-24,Grass,3rd Round,5,Monfils G.,Ancic M.,Ancic M.,83,17,-1,-1,5.0,1.14,3-6 3-6 1-6
Wimbledon,2005-06-25,Grass,3rd Round,5,Grosjean S.,Djokovic N.,Grosjean S.,27,128,-1,-1,1.14,5.0,7-5 6-4 5-7 6-4
Swedish Open,2005-07-05,Clay,1st Round,3,Monfils G.,Bjorkman J.,Monfils G.,67,104,576,403,1.39,2.75,6-2 6-2
Mercedes Cup,2005-07-19,Clay,1st Round,3,Starace P.,Monfils G.,Starace P.,95,65,435,585,1.61,2.2,6-2 6-3
Croatia Open,2005-07-26,Clay,1st Round,3,Djokovic N.,Calatrava A.,Djokovic N.,97,163,417,259,1.36,2.87,6-3 6-4
Croatia Open,2005-07-27,Clay,2nd Round,3,Ferrero J.C.,Djokovic N.,Ferrero J.C.,28,97,1170,417,1.14,5.0,6-4 6-2
Idea Prokom Open,2005-08-02,Clay,1st Round,3,Monfils G.,Marin J.A.,Monfils G.,65,166,585,248,1.57,2.25,6-0 6-4
Idea Prokom Open,2005-08-03,Clay,2nd Round,3,Monfils G.,Monaco J.,Monfils G.,65,68,585,556,2.62,1.44,6-4 7-6
Idea Prokom Open,2005-08-05,Clay,Quarterfinals,3,Monfils G.,Hanescu V.,Monfils G.,65,49,585,720,2.62,1.44,6-3 6-3
Idea Prokom Open,2005-08-06,Clay,Semifinals,3,Monfils G.,Starace P.,Monfils G.,65,121,585,370,2.1,1.66,3-6 7-5 6-4
Idea Prokom Open,2005-08-07,Clay,The Final,3,Mayer F.,Monfils G.,Monfils G.,95,65,434,585,1.57,2.25,6-7 6-4 5-7
Western & Southern Financial Group Masters,2005-08-15,Hard,1st Round,3,Stepanek R.,Monfils G.,Monfils G.,16,46,1415,755,1.83,1.83,3-6 2-6
Western & Southern Financial Group Masters,2005-08-15,Hard,1st Round,3,Djokovic N.,Gonzalez F.,Gonzalez F.,97,18,440,1385,3.5,1.28,6-3 6-7 4-6
Western & Southern Financial Group Masters,2005-08-17,Hard,2nd Round,3,Monfils G.,Beck K.,Monfils G.,46,39,755,912,1.72,2.0,6-1 7-6
Western & Southern Financial Group Masters,2005-08-18,Hard,3rd Round,3,Monfils G.,Youzhny M.,Youzhny M.,46,26,755,1195,1.66,2.1,6-4 1-6 1-6
Pilot Pen Tennis,2005-08-24,Hard,2nd Round,3,Koubek S.,Monfils G.,Koubek S.,86,42,473,825,2.87,1.38,4-6 7-5 7-5
US Open,2005-08-30,Hard,1st Round,5,Djokovic N.,Monfils G.,Djokovic N.,97,43,431,825,2.5,1.5,7-5 4-6 7-5 0-6 7-5
US Open,2005-09-02,Hard,2nd Round,5,Djokovic N.,Ancic M.,Djokovic N.,97,24,431,1230,3.5,1.28,6-3 5-7 7-6 6-3
US Open,2005-09-04,Hard,3rd Round,5,Djokovic N.,Verdasco F.,Verdasco F.,97,48,431,770,2.75,1.39,1-6 6-4 7-6 4-6 4-6
Open Romania,2005-09-13,Clay,1st Round,3,Montanes A.,Monfils G.,Montanes A.,74,46,499,820,3.75,1.22,3-6 6-1 6-4
Campionati Internazionali Di Sicilia,2005-09-27,Clay,1st Round,3,Fognini F.,Elsner D.,Elsner D.,355,339,87,94,1.95,1.65,6-4 3-6 5-7
Campionati Internazionali Di Sicilia,2005-09-27,Clay,1st Round,3,Monfils G.,Martin A.,Martin A.,45,61,820,635,1.72,2.0,6-1 1-6 4-6
Open de Moselle,2005-10-04,Hard,1st Round,3,Monfils G.,Chela J.I.,Monfils G.,45,50,814,755,1.57,2.25,2-6 6-1 7-6
Open de Moselle,2005-10-06,Hard,2nd Round,3,Clement A.,Monfils G.,Monfils G.,68,45,538,814,2.2,1.61,2-6 2-6
Open de Moselle,2005-10-07,Hard,Quarterfinals,3,Gasquet R.,Monfils G.,Monfils G.,12,45,1610,814,1.22,4.0,6-7 2-6
Open de Moselle,2005-10-08,Hard,Semifinals,3,Monfils G.,Hrbaty D.,Monfils G.,45,20,814,1276,2.1,1.66,7-6 1-6 6-2
Open de Moselle,2005-10-09,Hard,The Final,3,Monfils G.,Ljubicic I.,Ljubicic I.,45,16,814,1430,2.62,1.44,6-7 0-6
Madrid Masters,2005-10-18,Hard,1st Round,3,Rochus C.,Monfils G.,Rochus C.,52,37,720,894,3.5,1.28,6-4 6-4
Grand Prix de Lyon,2005-10-24,Carpet,1st Round,3,Djokovic N.,Mello R.,Djokovic N.,88,105,468,398,1.39,2.75,7-6 6-4
Grand Prix de Lyon,2005-10-25,Carpet,1st Round,3,Hernych J.,Monfils G.,Monfils G.,75,36,515,889,3.0,1.33,4-6 7-5 3-6
Grand Prix de Lyon,2005-10-26,Carpet,2nd Round,3,Djokovic N.,Rochus O.,Rochus O.,88,24,468,1160,3.0,1.36,6-7 5-7
